parent_category,avg_duration_hour
private,105.90778758469435
other,86.59371014227143
entertainment,82.91258302109442
social,19.905165166540502
mail,16.832689198948817
search,13.909879255895277
shopping,10.659515597666376
productivity,9.087477011325644
games,7.305069069859641
education,7.273094074118174
news,7.1697225090812555
reference,4.026677554893658
finance,3.638598881369931
recreation,2.8694991618738177
content creation,2.2676517523943494
